,,業務の効率性(生産性)の向上            ,従業員のワークライフバランスの向上      ,多様な働き方の実現  ,災害時に事業継続が可能                  ,固定費の削減（通勤費、賃料等）          ,人材の確保・流出の防止                  ,その他              ,無回答, n
, 今回調査（全体）,52.4,45.3,56.4,24,31.1,12.6,7.6,0.9,1284
業種別,情報・コンテンツ業,55.6,52.6,56.5,22.2,36.5,14.9,7.7,0.4,504
業種別,専門サービス業,56.8,39.8,54.8,23.9,28.9,11.1,6.4,1.6,440
業種別,技術サービス業,43,42.4,59.4,24.2,25.5,11.5,7.3,0,165
業種別,事業サービス業,41.7,43.7,56.3,33.1,26.5,10.6,9.3,1.3,151
特定10業種別,ソフトウェア業,52.3,52.7,55.9,22.7,40.6,17.6,9,0.8,256
特定10業種別,インターネット附随サービス業,60,48.9,64.4,28.9,53.3,20,2.2,0,45
特定10業種別,映像情報制作・配給業,60,46.7,71.1,13.3,22.2,8.9,6.7,0,45
特定10業種別,出版業,43.8,40.6,50,15.6,21.9,3.1,15.6,0,32
特定10業種別,税理士事務所,35.9,43.6,48.7,33.3,11.5,9,6.4,1.3,78
特定10業種別,デザイン業,46.7,36.7,50,30,36.7,13.3,3.3,8.3,60
特定10業種別,経営コンサルタント業,66.7,38.8,58.9,19.4,34.1,11.6,5.4,0.8,129
特定10業種別,建築設計業,47.1,43.1,66.7,22.5,24.5,10.8,3.9,0,102
特定10業種別,自動車整備業,50,50,50,0,50,50,50,0,2
特定10業種別,建物サービス業,50,28.6,28.6,35.7,28.6,7.1,7.1,0,14
従業者規模別,2人,69,36.7,48.2,12.8,38.9,4.9,8.4,0.9,226
従業者規模別,3～5人,47.4,55.1,56.2,28.8,27,14.2,2.6,0.4,274
従業者規模別,6～9人,44.1,54.4,59.6,36.8,18.4,19.1,8.1,1.5,136
従業者規模別,10～29人,40,58.6,67.6,29.5,25.2,20.5,10.5,0,210
従業者規模別,30人以上,39.2,59.4,67.1,34.3,26.6,21.7,10.5,0,143
年間売上高増減別(３年前),大幅(10％以上)増加,55.8,58.9,65.6,31.9,30.7,20.9,6.7,0.6,163
年間売上高増減別(３年前),やや(10％未満)増加,49,48.3,61.6,27.2,23.8,14.6,9.3,0.7,151
年間売上高増減別(３年前),ほぼ(±５％未満)横ばい,48.5,43.3,52.8,23.3,29.4,10.7,8.6,0.9,326
年間売上高増減別(３年前),やや(10％未満)減少,51.7,41.3,54.5,18.2,27.3,11.9,11.9,1.4,143
年間売上高増減別(３年前),大幅(10％以上)減少,52.1,41.4,52.8,22.2,34.8,10.3,5.8,0.7,428
売上高経常利益率別,黒字,50.1,48.7,59.2,26.9,28.9,14.2,7.9,0.6,809
売上高経常利益率別,赤字,58.3,40.9,54.1,18.5,37,10.6,6.4,0.8,357
経常損益の変化別(３年前),増益,54.5,53.5,64.2,28.1,30.1,16.1,8,0.3,299
経常損益の変化別(３年前),横ばい,48.3,39.1,55.4,21,29.9,10.8,9.2,1,381
経常損益の変化別(３年前),減益,51.7,44.3,51.5,24.3,30.9,12,6.8,1,515
代表者の年齢別,40歳未満,63.6,60,67.3,23.6,43.6,21.8,3.6,0,55
代表者の年齢別,40歳代,56.5,56.9,72,28,36.2,14.7,3.9,0.9,232
代表者の年齢別,50歳代,49.6,44,54.7,27.5,33.3,13.6,6.9,1.6,375
代表者の年齢別,60歳代,53.6,45.2,52.3,21.7,31.1,10.9,7.4,0.5,405
代表者の年齢別,70歳以上,48,31.4,46.1,18.6,18.6,9.8,14.2,0,204
業種別,専門レ京都,羽村市,緑ヶ丘４丁目,2018-11-28,16,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,福生,二宮駐在所,132284,東京都,あきる野市,草花,2018-04-25,13,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,福生,二宮駐在所,132284,東京都,あきる野市,草花,2018-04-25,18,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,福生,二宮駐在所,132284,東京都,あきる野市,二宮東３丁目,2018-08-06,12,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,福生,草花駐在所,132284,東京都,あきる野市,草花,2018-01-05,18,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,福生,草花駐在所,132284,東京都,あきる野市,草花,2018-03-10,18,その他,施錠せず,あり
窃盗,車上ねらい,福生,草花駐在所,132284,東京都,あきる野市,草花,2018-04-19,18,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,福生,草花駐在所,132284,東京都,あきる野市,草花,2018-07-06,09,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,福生,渕上駐在所,132284,東京都,あきる野市,引田,2018-09-21,23,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,福生,渕上駐在所,132284,東京都,あきる野市,渕上,2018-04-06,17,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,福生,油平駐在所,132284,東京都,あきる野市,雨間,2018-04-19,16,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,福生,小作駅前交番,132276,東京都,羽村市,栄町２丁目,2018-03-11,18,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,福生,小作駅前交番,132276,東京都,羽村市,栄町２丁目,2018-09-18,08,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,福生,小作駅前交番,132276,東京都,羽村市,小作台１丁目,2018-10-14,07,道路上,施錠せず,あり
窃盗,車上ねらい,福生,小作駅前交番,132276,東京都,羽村市,小作台２丁目,2018-03-22,21,道路上,施錠せず,なし
窃盗,車上ねらい,福生,小作駅前交番,132276,東京都,羽村市,小作台５丁目,2018-06-08,18,その他,施錠せず,あり
窃盗,車上ねらい,福生,五ノ神駐在所,132276,東京都,羽村市,五ノ神,2018-04-11,19,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,福生,五ノ神駐在所,132276,東京都,羽村市,神明台２丁目,2018-02-13,20,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,福生,秋川駅前交番,132284,東京都,あきる野市,雨間,2018-04-09,18,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,福生,秋川駅前交番,132284,東京都,あきる野市,秋留２丁目,2018-09-14,23,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,福生,小川駐在所,132284,東京都,あきる野市,小川東２丁目,2018-05-04,20,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,福生,箱根ヶ崎駅前交番,133035,東京都,瑞穂町,箱根ケ崎東松原,2017-12-29,17,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,福生,箱根ヶ崎駅前交番,133035,東京都,瑞穂町,箱根ケ崎東松原,2018-01-01,09,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,八王子,,132012,東京都,八王子市,,2018-04-27,10,道路上,施錠せず,なし
窃盗,車上ねらい,八王子,西八王子駅前交番,132012,東京都,八王子市,千人町２丁目,2018-02-28,13,その他,施錠せず,あり
窃盗,車上ねらい,八王子,西八王子駅前交番,132012,東京都,八王子市,千人町２丁目,2018-08-10,16,その他,施錠せず,あり
窃盗,車上ねらい,八王子,西八王子駅前交番,132012,東京都,八王子市,千人町２丁目,2018-09-27,16,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,八王子,追分交番,132012,東京都,八王子市,八幡町,2018-12-21,10,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,八王子,追分交番,132012,東京都,八王子市,八木町,2018-07-22,11,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,八王子,中野交番,132012,東京都,八王子市,大横町,2018-04-25,17,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,八王子,中野交番,132012,東京都,八王子市,中野上町１丁目,2018-12-04,19,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,八王子,八王子駅南口交番,132012,東京都,八王子市,子安町１丁目,2018-05-14,08,その他,施錠せず,あり
窃盗,車上ねらい,八王子,八王子駅南口交番,132012,東京都,八王子市,寺町,2018-08-22,13,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,八王子,八王子駅北口交番,132012,東京都,八王子市,旭町,2018-07-10,14,その他,施錠せず,あり
窃盗,車上ねらい,八王子,八王子駅北口交番,132012,東京都,八王子市,旭町,2018-07-19,11,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,八王子,八王子駅北口交番,132012,東京都,八王子市,天神町,2018-07-12,09,道路上,施錠せず,あり
窃盗,車上ねらい,八王子,八王子駅北口交番,132012,東京都,八王子市,天神町,2018-08-26,08,その他,施錠せず,なし
窃盗,車上ねらい,八王子,八王子駅北口交番,132012,東京都,八王子市,中町,2018-02-11,15,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,八王子,八王子駅北口交番,132012,東京都,八王子市,三崎町,2018-06-07,22,道路上,施錠せず,なし
窃盗,車上ねらい,八王子,八王子駅北口交番,132012,東京都,八王子市,明神町１丁目,2018-03-06,14,道路上,施錠せず,あり
窃盗,車上ねらい,八王子,元横山交番,132012,東京都,八王子市,大横町,2018-09-29,18,その他,施錠せず,なし
窃盗,車上ねらい,八王子,元横山交番,132012,東京都,八王子市,本町,2018-01-20,13,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,八王子,元横山交番,132012,東京都,八王子市,元横山町３丁目,2018-05-26,21,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,八王子,元横山交番,132012,東京都,八王子市,元横山町３丁目,2018-08-29,09,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,八王子,大和田交番,132012,東京都,八王子市,大和田町５丁目,2018-02-27,11,その他,施錠せず,あり
窃盗,車上ねらい,八王子,大和田交番,132012,東京都,八王子市,大和田町６丁目,2018-08-28,15,道路上,施錠せず,なし
窃盗,車上ねらい,八王子,稲荷坂交番,132012,東京都,八王子市,尾崎町,2018-04-12,14,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,八王子,稲荷坂交番,132012,東京都,八王子市,左入町,2018-08-19,15,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,八王子,稲荷坂交番,132012,東京都,八王子市,中野山王１丁目,2018-06-16,19,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,八王子,小宮町駐在所,132012,東京都,八王子市,小宮町,2018-03-13,15,その他,施錠せず,あり
窃盗,車上ねらい,八王子,犬目交番,132012,東京都,八王子市,楢原町,2018-04-19,17,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,八王子,犬目交番,132012,東京都,八王子市,楢原町,2018-05-11,12,道路上,施錠せず,あり
窃盗,車上ねらい,八王子,犬目交番,132012,東京都,八王子市,楢原町,2018-10-08,09,道路上,施錠せず,あり
窃盗,車上ねらい,八王子,犬目交番,132012,東京都,八王子市,楢原町,2018-12-24,07,道路上,施錠せず,あり
窃盗,車上ねらい,八王子,犬目交番,132012,東京都,八王子市,楢原町,2018-12-28,08,道路上,施錠せず,あり
窃盗,車上ねらい,八王子,下川口駐在所,132012,東京都,八王子市,川口町,2018-01-05,00,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,八王子,下川口駐在所,132012,東京都,八王子市,川口町,2018-04-24,10,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,八王子,下川口駐在所,132012,東京都,八王子市,川口町,2018-08-21,12,その他,施錠せず,なし
窃盗,車上ねらい,八王子,北八王子交番,132012,東京都,八王子市,宇津木町,2018-09-01,22,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,八王子,北八王子交番,132012,東京都,八王子市,高倉町,2018-04-19,19,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,八王子,左入町駐在所,132012,東京都,八王子市,左入町,2018-10-25,23,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,八王子,左入町駐在所,132012,東京都,八王子市,谷野町,2018-10-22,00,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,八王子,久保山駐在所,132012,東京都,八王子市,久保山町１丁目,2018-07-26,14,その他,施錠せず,なし
窃盗,車上ねらい,町田,町田駅前交番,132098,東京都,町田市,原町田６丁目,2018-01-09,19,道路上,施錠せず,あり
窃盗,車上ねらい,町田,町田駅前交番,132098,東京都,町田市,原町田６丁目,2018-02-08,04,道路上,施錠せず,あり
窃盗,車上ねらい,町田,町田駅前交番,132098,東京都,町田市,原町田６丁目,2018-04-13,10,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,町田,町田駅前交番,132098,東京都,町田市,森野１丁目,2018-11-30,17,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,中町交番,132098,東京都,町田市,旭町１丁目,2018-08-08,12,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,町田,中町交番,132098,東京都,町田市,旭町１丁目,2018-09-03,19,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,中町交番,132098,東京都,町田市,中町１丁目,2018-01-06,07,その他,施錠せず,なし
窃盗,車上ねらい,町田,中町交番,132098,東京都,町田市,中町３丁目,2018-07-04,15,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,町田,中町交番,132098,東京都,町田市,中町４丁目,2018-01-26,11,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,中町交番,132098,東京都,町田市,森野５丁目,2018-08-23,18,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,町田,中町交番,132098,東京都,町田市,森野６丁目,2018-01-27,17,その他,施錠せず,あり
窃盗,車上ねらい,町田,金森交番,132098,東京都,町田市,金森東４丁目,2018-05-18,12,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,町田,鶴間交番,132098,東京都,町田市,金森４丁目,2018-09-20,16,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,鶴間交番,132098,東京都,町田市,鶴間３丁目,2018-10-26,16,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,鶴間交番,132098,東京都,町田市,鶴間５丁目,2018-08-27,21,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,鶴間交番,132098,東京都,町田市,鶴間５丁目,2018-10-10,17,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,南大谷駐在所,132098,東京都,町田市,南大谷,2018-10-14,18,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,町田,玉川学園駐在所,132098,東京都,町田市,玉川学園７丁目,2018-08-08,10,道路上,施錠せず,あり
窃盗,車上ねらい,町田,玉川学園駐在所,132098,東京都,町田市,玉川学園８丁目,2018-09-07,15,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,本町田交番,132098,東京都,町田市,本町田,2018-10-26,18,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,町田,小野路駐在所,132098,東京都,町田市,小野路町,2018-10-12,21,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,町田,図師駐在所,132098,東京都,町田市,図師町,2018-03-26,18,その他,施錠せず,なし
窃盗,車上ねらい,町田,図師駐在所,132098,東京都,町田市,図師町,2018-06-19,16,その他,施錠せず,なし
窃盗,車上ねらい,町田,図師駐在所,132098,東京都,町田市,図師町,2018-11-16,16,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,木曽交番,132098,東京都,町田市,木曽東１丁目,2018-08-21,15,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,木曽交番,132098,東京都,町田市,木曽東４丁目,2018-03-23,02,その他,施錠せず,あり
窃盗,車上ねらい,町田,つくし野駅前交番,132098,東京都,町田市,つくし野２丁目,2018-06-28,09,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,藤の台団地交番,132098,東京都,町田市,金井２丁目,2018-12-07,23,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,成瀬駅前交番,132098,東京都,町田市,南成瀬２丁目,2018-02-21,19,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,町田,成瀬駅前交番,132098,東京都,町田市,南成瀬２丁目,2018-05-21,20,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,成瀬駅前交番,132098,東京都,町田市,南成瀬５丁目,2018-02-10,17,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,成瀬駅前交番,132098,東京都,町田市,南成瀬５丁目,2018-02-21,10,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,成瀬駅前交番,132098,東京都,町田市,南成瀬５丁目,2018-05-10,19,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,成瀬駅前交番,132098,東京都,町田市,南成瀬５丁目,2018-06-03,17,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,成瀬駅前交番,132098,東京都,町田市,南成瀬７丁目,2018-06-29,18,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,忠生駐在所,132098,東京都,町田市,忠生１丁目,2018-02-23,15,その他,施錠せず,あり
窃盗,車上ねらい,町田,高ヶ坂駐在所,132098,東京都,町田市,高ヶ坂６丁目,2018-06-30,20,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,忠生１丁目,2018-09-12,19,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,忠生３丁目,2018-04-11,22,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,山崎町,2018-09-21,18,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,木曽西１丁目,2018-09-10,20,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,木曽西２丁目,2018-02-25,17,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,木曽西３丁目,2018-04-11,19,道路上,施錠せず,なし
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,木曽西３丁目,2018-05-23,16,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,木曽西４丁目,2018-04-15,09,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,木曽西５丁目,2018-03-02,08,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,木曽東２丁目,2018-10-20,13,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,町田,忠生地区交番,132098,東京都,町田市,根岸２丁目,2018-07-10,13,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,日野,日野駅前交番,132128,東京都,日野市,栄町１丁目,2018-01-31,15,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,日野,日野駅前交番,132128,東京都,日野市,栄町１丁目,2018-02-07,16,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,日野,日野駅前交番,132128,東京都,日野市,栄町１丁目,2018-03-02,12,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,日野,日野駅前交番,132128,東京都,日野市,栄町１丁目,2018-04-01,09,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,日野,日野駅前交番,132128,東京都,日野市,栄町１丁目,2018-04-16,11,道路上,施錠せず,あり
窃盗,車上ねらい,日野,日野駅前交番,132128,東京都,日野市,栄町１丁目,2018-04-18,16,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,日野,日野駅前交番,132128,東京都,日野市,日野本町５丁目,2018-03-02,08,道路上,施錠せず,あり
窃盗,車上ねらい,日野,日野駅前交番,132128,東京都,日野市,日野本町５丁目,2018-04-26,15,道路上,施錠せず,あり
窃盗,車上ねらい,日野,日野駅前交番,132128,東京都,日野市,日野本町６丁目,2018-06-25,14,その他,施錠せず,なし
窃盗,車上ねらい,日野,豊田駅前交番,132128,東京都,日野市,旭が丘３丁目,2018-11-28,02,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,日野,多摩平交番,132128,東京都,日野市,多摩平１丁目,2018-12-16,18,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,日野,多摩平交番,132128,東京都,日野市,多摩平２丁目,2018-12-19,01,道路上,施錠せず,なし
窃盗,車上ねらい,日野,多摩平交番,132128,東京都,日野市,多摩平４丁目,2018-05-04,09,道路上,施錠せず,なし
窃盗,車上ねらい,日野,多摩平交番,132128,東京都,日野市,日野本町４丁目,2018-12-04,21,道路上,施錠せず,あり
窃盗,車上ねらい,日野,日野橋駐在所,132128,東京都,日野市,万願寺２丁目,2018-06-08,17,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,日野,宮駐在所,132128,東京都,日野市,大字上田,2018-08-03,16,その他,施錠せず,あり
窃盗,車上ねらい,日野,宮駐在所,132128,東京都,日野市,大字川辺堀之内,2018-04-28,16,その他,施錠せず,なし
窃盗,車上ねらい,日野,宮駐在所,132128,東京都,日野市,万願寺�