町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,844,659,685,1344
両国二丁目,1162,957,925,1882
両国三丁目,1136,821,904,1725
両国四丁目,1128,901,889,1790
千歳一丁目,898,751,754,1505
千歳二丁目,555,490,435,925
千歳三丁目,1202,976,977,1953
緑一丁目,1594,1394,1300,2694
緑二丁目,1643,1566,1624,3190
緑三丁目,1430,1310,1202,2512
緑四丁目,2334,2034,1835,3869
立川一丁目,767,569,597,1166
立川二丁目,813,659,640,1299
立川三丁目,981,817,824,1641
立川四丁目,862,712,647,1359
菊川一丁目,841,755,812,1567
菊川二丁目,1307,1045,1124,2169
菊川三丁目,2055,1737,1871,3608
江東橋一丁目,829,637,620,1257
江東橋二丁目,1216,1038,924,1962
江東橋三丁目,468,342,227,569
江東橋四丁目,1438,1051,1013,2064
江東橋五丁目,1602,1445,1427,2872
横網一丁目,129,150,141,291
横網二丁目,683,587,574,1161
亀沢一丁目,1193,1005,1026,2031
亀沢二丁目,938,823,921,1744
亀沢三丁目,932,954,896,1850
亀沢四丁目,1374,1244,1186,2430
石原一丁目,1425,1168,1207,2375
石原二丁目,1279,1147,1134,2281
石原三丁目,1551,1422,1274,2696
石原四丁目,1397,1313,1223,2536
本所一丁目,1561,1445,1424,2869
本所二丁目,871,784,809,1593
本所三丁目,983,891,884,1775
本所四丁目,1232,1131,1078,2209
東駒形一丁目,702,573,586,1159
東駒形二丁目,826,744,748,1492
東駒形三丁目,825,721,710,1431
東駒形四丁目,1358,1172,1167,2339
吾妻橋一丁目,1240,971,1045,2016
吾妻橋二丁目,854,677,686,1363
吾妻橋三丁目,827,779,813,1592
錦糸一丁目,1195,908,860,1768
錦糸二丁目,371,292,242,534
錦糸三丁目,396,329,268,597
錦糸四丁目,880,785,790,1575
太平一丁目,1679,1619,1580,3199
太平二丁目,852,710,595,1305
太平三丁目,710,581,559,1140
太平四丁目,2459,2208,2301,4509
横川一丁目,721,781,674,1455
横川二丁目,834,730,626,1356
横川三丁目,606,547,499,1046
横川四丁目,686,638,550,1188
横川五丁目,1323,1153,1450,2603
業平一丁目,1463,1383,1524,2907
業平二丁目,803,674,642,1316
業平三丁目,842,646,660,1306
業平四丁目,1119,889,961,1850
業平五丁目,1131,1055,1147,2202
向島一丁目,1249,1069,1049,2118
向島二丁目,1372,1187,1272,2459
向島三丁目,2225,1966,1931,3897
向島四丁目,1282,1253,1289,2542
向島五丁目,2357,2040,1974,4014
東向島一丁目,1615,1499,1458,2957
東向島二丁目,2661,2357,2447,4804
東向島三丁目,1596,1596,1664,3260
東向島四丁目,1861,1674,1701,3375
東向島五丁目,2034,1809,1934,3743
東向島六丁目,2789,2635,2644,5279
堤通一丁目,1114,1176,1125,2301
堤通二丁目,2008,1841,2252,4093
墨田一丁目,1260,1365,1457,2822
墨田二丁目,1996,1973,1902,3875
墨田三丁目,1896,1808,1777,3585
墨田四丁目,2416,2313,2430,4743
墨田五丁目,1494,1405,1351,2756
押上一丁目,1288,1045,1135,2180
押上二丁目,2013,1818,1956,3774
押上三丁目,2208,2151,2012,4163
京島一丁目,3516,3312,3521,6833
京島二丁目,961,934,825,1759
京島三丁目,2336,2159,2068,4227
文花一丁目,2881,2527,3020,5547
文花二丁目,1159,1081,1102,2183
文花三丁目,1158,1330,1305,2635
八広一丁目,1759,1696,1586,3282
八広二丁目,2000,2035,1986,4021
八広三丁目,1769,1740,1648,3388
八広四丁目,2046,2089,1991,4080
八広五丁目,1532,1437,1411,2848
八広六丁目,2023,2011,1897,3908
立花一丁目,3068,2768,2907,5675
立花二丁目,815,727,716,1443
立花三丁目,1389,1310,1324,2634
立花四丁目,1755,1786,1718,3504
立花五丁目,1752,1990,1909,3899
立花六丁目,1135,1115,1188,2303
東墨田一丁目,65,78,60,138
東墨田二丁目,678,656,596,1252
東墨田三丁目,375,404,372,776
, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.73637890936894, 35.593344852397543 ], [ 139.73637989573052, 35.593350531913934 ], [ 139.73638132667043, 35.593353597772627 ], [ 139.73638076227988, 35.593364053379808 ], [ 139.73638219148108, 35.593368561452436 ], [ 139.73638427977883, 35.593375593932052 ], [ 139.73638946088747, 35.593380285299517 ], [ 139.73639762836257, 35.593379390484301 ], [ 139.73640866728212, 35.593376695208633 ], [ 139.73642147136317, 35.593374452043633 ], [ 139.73642732743249, 35.593368507614116 ], [ 139.73642766469445, 35.593363369993149 ], [ 139.7364253613292, 35.593351650141472 ], [ 139.73642249499193, 35.593349214098325 ], [ 139.73641786425372, 35.593345694974801 ], [ 139.73641544108145, 35.593341817072492 ], [ 139.73641368080919, 35.593337308734007 ], [ 139.7364056466223, 35.593319184442656 ], [ 139.73640433125431, 35.593311792031123 ], [ 139.7364020199615, 35.59330665228007 ], [ 139.73640092389437, 35.593300431844838 ], [ 139.73639332277202, 35.59328924856225 ], [ 139.73639277153302, 35.593288797426567 ], [ 139.73638901865215, 35.593289425377144 ], [ 139.73638448284231, 35.59329870598993 ], [ 139.73638050022689, 35.593306815247566 ], [ 139.73638335319316, 35.593320338311464 ], [ 139.73638167860793, 35.593336291471644 ], [ 139.73637890936894, 35.593344852397543 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 18088, "SAFIELD001": 63064, "SAFIELD002": 1, "SAFIELD003": 12.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.73657427235554, 35.593318508692768 ], [ 139.73657857224646, 35.593321847267774 ], [ 139.73658751220916, 35.59332095305983 ], [ 139.73659766945511, 35.593317265536022 ], [ 139.73661234600405, 35.593317998422769 ], [ 139.73662261382185, 35.59331413070867 ], [ 139.73662460598496, 35.593309354968881 ], [ 139.73662273979028, 35.593301150871568 ], [ 139.7366189964516, 35.593293846652507 ], [ 139.73661570418921, 35.593278520472367 ], [ 139.73661240531396, 35.593268692732856 ], [ 139.73661020306437, 35.593264634734794 ], [ 139.73660611911697, 35.593265262426435 ], [ 139.73660367988933, 35.593274725007085 ], [ 139.73660432847348, 35.593285992835121 ], [ 139.736602337611, 35.593289686914126 ], [ 139.73658908008417, 35.593301935103433 ], [ 139.73658587161157, 35.593308692912387 ], [ 139.73658344105701, 35.593310944422761 ], [ 139.73657880315523, 35.593313374437962 ], [ 139.73657427235554, 35.593318508692768 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 18089, "SAFIELD001": 63069, "SAFIELD002": 1, "SAFIELD003": 15.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.73602248742489, 35.593228827363582 ], [ 139.73602710657619, 35.593241901169769 ], [ 139.73602919549413, 35.593248392825394 ], [ 139.73603237837781, 35.593262817548656 ], [ 139.73603864513547, 35.593282292515092 ], [ 139.73604029077529, 35.593290316166453 ], [ 139.73604612352725, 35.593303661366853 ], [ 139.73604886858902, 35.59331511116698 ], [ 139.73605438815935, 35.593313673406861 ], [ 139.73605340083972, 35.593308805133162 ], [ 139.73605197154893, 35.593304387194991 ], [ 139.73605551942362, 35.593290779151317 ], [ 139.73605585965339, 35.593283207795345 ], [ 139.7360539956984, 35.593273200921857 ], [ 139.73605047607015, 35.593263463127293 ], [ 139.73604893838697, 35.593257422609298 ], [ 139.73604795063213, 35.593252914888993 ], [ 139.736046857974, 35.593243900160992 ], [ 139.73604245865963, 35.593231547640713 ], [ 139.73604092675828, 35.593220729788847 ], [ 139.73603916465549, 35.59321775379717 ], [ 139.73603751203666, 35.593215499001538 ], [ 139.7360356353239, 35.593216038317237 ], [ 139.73603243160764, 35.593218830023112 ], [ 139.73602271413753, 35.593223869931315 ], [ 139.73602248742489, 35.593228827363582 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 18090, "SAFIELD001": 63112, "SAFIELD002": 1, "SAFIELD003": 11.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.73669907455752, 35.59323595185554 ], [ 139.73669907304091, 35.593237213792769 ], [ 139.7367015973723, 35.593248753539704 ], [ 139.73670732680719, 35.593256329763975 ], [ 139.73671438474466, 35.593260391653025 ], [ 139.73671957106396, 35.593260756364472 ], [ 139.73672630486431, 35.593259049131532 ], [ 139.73673536394628, 35.593250853792789 ], [ 139.73673989646443, 35.593244277317872 ], [ 139.73673858377404, 35.5932346314505 ], [ 139.7367311984504, 35.593227504592768 ], [ 139.73672336661232, 35.59322461388431 ], [ 139.73672281537191, 35.593224162750126 ], [ 139.7367156414486, 35.593224787968531 ], [ 139.73670581550553, 35.593228295491052 ], [ 139.73669907455752, 35.59323595185554 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 18091, "SAFIELD001": 63124, "SAFIELD002": 1, "SAFIELD003": 17.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.73658656514667, 35.593190882501347 ], [ 139.73658876001824, 35.593201069909327 ], [ 139.73658974129563, 35.593210985927733 ], 